,data,labels,group,generalisation
2348,hey ai cancel it now,cancel,validation,ID
2349,cancel,cancel,validation,ID
2350,command cancel,cancel,validation,ID
2351,please stop it,cancel,validation,ID
2352,abort it,cancel,validation,ID
2353,how to cancel,cancel,validation,ID
2354,i repeat cancel,cancel,validation,ID
2355,please don't talk any further,cancel,validation,ID
2356,don't talk anymore,cancel,validation,ID
2357,i need you to stop talking,cancel,validation,ID
2358,rescind,cancel,validation,ID
2359,eliminate,cancel,validation,ID
2360,"if i plan on travelling to this country, do i need a visa",international_visa,validation,ID
2361,do i need a visa if i go there,international_visa,validation,ID
2362,"for going to that country, do i need a visa",international_visa,validation,ID
2363,does one need a visa to go there,international_visa,validation,ID
2364,"if i travel there, do i need a visa",international_visa,validation,ID
2365,does going to taiwan require me to get an international visa,international_visa,validation,ID
2366,"if i go to brazil, do i need to get an international visa",international_visa,validation,ID
2367,"should i go to okinawa, does it require an international visa",international_visa,validation,ID
2368,is an international visa needed to go to cyprus,international_visa,validation,ID
2369,i want to go to china but am not sure if i need an international visa,international_visa,validation,ID
2370,should i get an internation visa to go to switzerland,international_visa,validation,ID
2371,does south korea require an international visa,international_visa,validation,ID
2372,will i need an international visa to go to madagascar,international_visa,validation,ID
2373,is an international visa needed for canada,international_visa,validation,ID
2374,do i need an international visa to get into italy,international_visa,validation,ID
2375,"if i go to uganda, do i need an international visa",international_visa,validation,ID
2376,do i need a travel visa for the uk,international_visa,validation,ID
2377,am i going to need a visa for traveling to canada,international_visa,validation,ID
2378,does canada require a visa,international_visa,validation,ID
2379,does the uk require a travel visa,international_visa,validation,ID
2380,is it necessary to get a shot for travel to india,vaccines,validation,ID
2381,are there any necessary shots required before travel to thailand,vaccines,validation,ID
2382,do i have to get a shot for travel to taiwan,vaccines,validation,ID
2383,are shots required before traveling to brazil,vaccines,validation,ID
2384,can i travel to south africa without getting a shot,vaccines,validation,ID
2385,what shots are required to visit australia,vaccines,validation,ID
2386,do i need any vaccines before traveling to brazil,vaccines,validation,ID
2387,what shots do i need before going to africa,vaccines,validation,ID
2388,do i need to get any shots before volunteering in the congo,vaccines,validation,ID
2389,must i have shots before i take a trip to canada,vaccines,validation,ID
2390,do i need to get any shots before travelling to australia,vaccines,validation,ID
2391,should i get shots if i'm going to go to thailand,vaccines,validation,ID
2392,do i need to get any shots before i go to brazil,vaccines,validation,ID
2393,do i need to get any shots before visiting family in seattle,vaccines,validation,ID
2394,do you need shots before going to russia,vaccines,validation,ID
2395,is a shot required before traveling to mexico,vaccines,validation,ID
2396,do i need shots before traveling to mexico,vaccines,validation,ID
2397,do i have to get shots to enter cuba,vaccines,validation,ID
2398,do i need to have any shots to visit chile,vaccines,validation,ID
2399,will ecuador require proof of any shots for me to go there,vaccines,validation,ID
2400,how many vacation days have i saved up,pto_balance,validation,ID
2401,how many vacation days do i have at my disposal,pto_balance,validation,ID
2402,how many hours of vacation have i saved up,pto_balance,validation,ID
2403,how many vacation days have i accumulated,pto_balance,validation,ID
2404,how many pto days are available,pto_balance,validation,ID
2405,how much vacation do i have saved,pto_balance,validation,ID
2406,how much vacation have i earned,pto_balance,validation,ID
2407,what number of pto days do i have left,pto_balance,validation,ID
2408,how many weeks of vacation do i have,pto_balance,validation,ID
2409,how many days of vacation do i have saved,pto_balance,validation,ID
2410,i need to know how many pto days are left,pto_balance,validation,ID
2411,whats the number of pto days i have to my availability,pto_balance,validation,ID
2412,how many pto days are in my possesion,pto_balance,validation,ID
2413,what number of vacation days do i have available,pto_balance,validation,ID
2414,what number of vacation days do i have at my disposal,pto_balance,validation,ID
2415,could you let me know how many pto days do i have left,pto_balance,validation,ID
2416,could you tell me how many pto days do i have left,pto_balance,validation,ID
2417,can you let me know how many pto days do i have left,pto_balance,validation,ID
2418,can you tell me how many pto days do i have left,pto_balance,validation,ID
2419,what is the amount of time i can request off in the coming year,pto_balance,validation,ID
2420,where is the closest subway entrance to me to go to brooklyn,directions,validation,ID
2421,"where is the closest red lobster to my location right now, which is 5th avenue",directions,validation,ID
2422,"i am on main street now, where is the closest bus stop to me",directions,validation,ID
2423,i am in downtown austin where is the nearest airport,directions,validation,ID
2424,where is the closet bus stop to go to downtown dallas,directions,validation,ID
2425,where is the nearest walmart,directions,validation,ID
2426,how do i get to the movie theater by bus,directions,validation,ID
2427,how do i get to the bus stop on foot,directions,validation,ID
2428,how do i get to new york by bus,directions,validation,ID
2429,how do i get to the train station by bus,directions,validation,ID
2430,how do i get to the library by foot,directions,validation,ID
2431,how do i get to the bowling alley by foot,directions,validation,ID
2432,how do i get to the fine arts center by foot,directions,validation,ID
2433,where is the closest target,directions,validation,ID
2434,how do i get to the grocery store by bus,directions,validation,ID
2435,how do i get to san fransisco by bus,directions,validation,ID
2436,where can i find the nearest dollar store,directions,validation,ID
2437,how do i get to the court house on foot,directions,validation,ID
2438,where is the nearest gas station,directions,validation,ID
2439,where is the closest park,directions,validation,ID
2440,spell: dessert,spelling,validation,ID
2441,how do you spell dessert,spelling,validation,ID
2442,tell me how to spell the word dessert,spelling,validation,ID
2443,what is the correct spelling of the word: dessert,spelling,validation,ID
2444,how to spell: dessert,spelling,validation,ID
2445,can you spell the word umbrella for me,spelling,validation,ID
2446,please spell the word umbrella,spelling,validation,ID
2447,please tell me how to spell umbrella,spelling,validation,ID
2448,how do you spell umbrella,spelling,validation,ID
2449,how is the word umbrella spelled,spelling,validation,ID
2450,how is doctor spelled,spelling,validation,ID
2451,tell me how to spell doctor,spelling,validation,ID
2452,please spell doctor,spelling,validation,ID
2453,how to spell doctor,spelling,validation,ID
2454,spell doctor,spelling,validation,ID
2455,malignant is spelled how exactly,spelling,validation,ID
2456,tell me how to spell malignant,spelling,validation,ID
2457,what is the correct spelling for malignant,spelling,validation,ID
2458,how would i go about spelling malignant,spelling,validation,ID
2459,how should i spell malignant,spelling,validation,ID
2460,how ya doin,greeting,validation,ID
2461,how ya been,greeting,validation,ID
2462,hows are ya,greeting,validation,ID
2463,heyo,greeting,validation,ID
2464,are you good,greeting,validation,ID
2465,how is it going my friend,greeting,validation,ID
2466,how you are,greeting,validation,ID
2467,tell me how are you,greeting,validation,ID
2468,hi what's up,greeting,validation,ID
2469,hey what's up,greeting,validation,ID
2470,hey how's it going,greeting,validation,ID
2471,"hi, ai",greeting,validation,ID
2472,"good morning, ai",greeting,validation,ID
2473,how've you been,greeting,validation,ID
2474,wassup,greeting,validation,ID
2475,hey,greeting,validation,ID
2476,hiya,greeting,validation,ID
2477,how's it hanging,greeting,validation,ID
2478,hi,greeting,validation,ID
2479,hello,greeting,validation,ID
2480,factory settings restoration,reset_settings,validation,ID
2481,i need you to reset to your factor settings,reset_settings,validation,ID
2482,can you reset to factor settings,reset_settings,validation,ID
2483,i want you to reset to factory settings,reset_settings,validation,ID
2484,i want to restore your factory settings,reset_settings,validation,ID
2485,switch back to factory settings,reset_settings,validation,ID
2486,i want you to go back to factory settings,reset_settings,validation,ID
2487,restore factory settings,reset_settings,validation,ID
2488,i want a clean bootup to factory settings,reset_settings,validation,ID
2489,change back to factory settings,reset_settings,validation,ID
2490,reset to factory settings,reset_settings,validation,ID
2491,go back to default settings,reset_settings,validation,ID
2492,now i'd like for you to return to the original settings,reset_settings,validation,ID
2493,can you now please go back to the original settings,reset_settings,validation,ID
2494,please revert to the original settings,reset_settings,validation,ID
2495,now restore the original settings,reset_settings,validation,ID
2496,configure this to factory settings,reset_settings,validation,ID
2497,make my settings go back to their factory settings,reset_settings,validation,ID
2498,set this to my factory settings,reset_settings,validation,ID
2499,change to factory settings,reset_settings,validation,ID
2500,what may i call you,what_is_your_name,validation,ID
2501,what was your name again,what_is_your_name,validation,ID
2502,your name is,what_is_your_name,validation,ID
2503,whats your name by the way,what_is_your_name,validation,ID
2504,what's your name if i may ask,what_is_your_name,validation,ID
2505,what is your name by chance,what_is_your_name,validation,ID
2506,what is your names,what_is_your_name,validation,ID
2507,what exactly is your name,what_is_your_name,validation,ID
2508,what's the name i should use to talk to you,what_is_your_name,validation,ID
2509,what is your given name,what_is_your_name,validation,ID
2510,what's the name you like to be called,what_is_your_name,validation,ID
2511,what's the name you were given,what_is_your_name,validation,ID
2512,can i ask your name,what_is_your_name,validation,ID
2513,do you mind if i ask your name,what_is_your_name,validation,ID
2514,do you have a nickname,what_is_your_name,validation,ID
2515,what do you go by,what_is_your_name,validation,ID
2516,what do you call yourself,what_is_your_name,validation,ID
2517,i'd like to know your name,what_is_your_name,validation,ID
2518,your name please,what_is_your_name,validation,ID
2519,can i have your name,what_is_your_name,validation,ID
2520,how do i set up direct deposit for my first national account,direct_deposit,validation,ID
2521,how do i set up direct deposit for my fifth third account,direct_deposit,validation,ID
2522,how do i set up direct deposit for my cefcu account,direct_deposit,validation,ID
2523,how do i set up direct deposit for my old national account,direct_deposit,validation,ID
2524,how do i set up direct deposit for my bank of america account,direct_deposit,validation,ID
2525,what might i need to do to direct deposit my paycheck,direct_deposit,validation,ID
2526,what information do i need to direct deposit my paycheck,direct_deposit,validation,ID
2527,how do i go about getting direct deposit in my usaa account,direct_deposit,validation,ID
2528,does my td ameritrade checking account take direct deposit,direct_deposit,validation,ID
2529,"if i want to direct deposit my paycheck, what info do i need",direct_deposit,validation,ID
2530,direct deposit my paycheck to my capital one account,direct_deposit,validation,ID
2531,i'd like direct deposit to my chase bank account,direct_deposit,validation,ID
2532,i want to set up direct deposit to my charles schwab account,direct_deposit,validation,ID
2533,how do i go about setting up paycheck direct deposit,direct_deposit,validation,ID
2534,link up my paycheck for direct deposit to my account at chase,direct_deposit,validation,ID
2535,please assist me in linking my chase account to direct deposit for my paycheck,direct_deposit,validation,ID
2536,please show me how to set up my paycheck for direct deposit to my chase account,direct_deposit,validation,ID
2537,tell me the easiest way to set up direct deposit of my paycheck to my chase account,direct_deposit,validation,ID
2538,help me get my paycheck set up for direct deposit to my chase account,direct_deposit,validation,ID
2539,how can i learn how to use direct deposit,direct_deposit,validation,ID
2540,what kind of interest can i expect with my chase account,interest_rate,validation,ID
2541,how much interest am i getting in my citibank savings,interest_rate,validation,ID
2542,how much interest do i get on my citizen's savings account,interest_rate,validation,ID
2543,what kind of interest am i getting from my bank of america checking,interest_rate,validation,ID
2544,what's my interest rate with my capital one account,interest_rate,validation,ID
2545,what is walker bank paying me in interest on my account,interest_rate,validation,ID
2546,where do i go to get private client account's interest rate,interest_rate,validation,ID
2547,what interest rate am i getting currently from oak bank,interest_rate,validation,ID
2548,how much interest am i getting percentage wise from chase,interest_rate,validation,ID
2549,what is my interest rate for my scotiabank account,interest_rate,validation,ID
2550,where can i find my voca account's interest rate,interest_rate,validation,ID
2551,how can i find the current interest rate for my account ending in 9012,interest_rate,validation,ID
2552,what interest rate is us bank giving me on my acount,interest_rate,validation,ID
2553,where do i find the interest rate for my platinum account,interest_rate,validation,ID
2554,where can i locate the pnc account's interest rate,interest_rate,validation,ID
2555,what is the interest rate on my auto loan,interest_rate,validation,ID
2556,how much is the interest rate on my home equity loan,interest_rate,validation,ID
2557,tell me what the interest rate is on my personal loan through chase,interest_rate,validation,ID
2558,whats the amount of interest i'm paying on my mortgage,interest_rate,validation,ID
2559,what is the interest rate at pnc,interest_rate,validation,ID
2560,how do i change my credit limit,credit_limit_change,validation,ID
2561,how can up my credit limit,credit_limit_change,validation,ID
2562,how can i make a change to my credit limit,credit_limit_change,validation,ID
2563,can i make a change to my credit limit,credit_limit_change,validation,ID
2564,how do i increse my credit limit,credit_limit_change,validation,ID
2565,is there a way to increase the limit of my credit to 5000 dollars,credit_limit_change,validation,ID
2566,i would like to have my credit increased to 5000 dollars,credit_limit_change,validation,ID
2567,i want to increase my credit limit to 5000 dollars,credit_limit_change,validation,ID
2568,could my credit be increased to 5000 dollars,credit_limit_change,validation,ID
2569,i need my credit limit changed,credit_limit_change,validation,ID
2570,the credit limit i have needs to be changed,credit_limit_change,validation,ID
2571,can you help me change my credit limit,credit_limit_change,validation,ID
2572,my credit limit needs to me changed,credit_limit_change,validation,ID
2573,i would like my credit limit increased to 5000 dollars,credit_limit_change,validation,ID
2574,i would like to change my credit limit,credit_limit_change,validation,ID
2575,can i increase my credit limit,credit_limit_change,validation,ID
2576,raise my credit limit,credit_limit_change,validation,ID
2577,increase my credit limit,credit_limit_change,validation,ID
2578,i'd like to increase my credit limit,credit_limit_change,validation,ID
2579,can you help me increase my credit limit,credit_limit_change,validation,ID
2580,do you have hobbies,what_are_your_hobbies,validation,ID
2581,tell me about your hobbies,what_are_your_hobbies,validation,ID
2582,are you involved in hobbies,what_are_your_hobbies,validation,ID
2583,what recreational activities do you enjoy,what_are_your_hobbies,validation,ID
2584,what do you do as a hobby,what_are_your_hobbies,validation,ID
2585,what do you like to do in your free time,what_are_your_hobbies,validation,ID
2586,what are your hobbies,what_are_your_hobbies,validation,ID
2587,what hobbies do you have,what_are_your_hobbies,validation,ID
2588,"when you have free time, what do you do",what_are_your_hobbies,validation,ID
2589,what do you do in your spare time siri,what_are_your_hobbies,validation,ID
2590,what hobbies do you have alexa,what_are_your_hobbies,validation,ID
2591,what are your hobbies siri,what_are_your_hobbies,validation,ID
2592,what do you do for fun alexa,what_are_your_hobbies,validation,ID
2593,what activities do you enjoy,what_are_your_hobbies,validation,ID
2594,what do you do with your free time,what_are_your_hobbies,validation,ID
2595,what are you interested in,what_are_your_hobbies,validation,ID
2596,"what are you’re hobbies, ai",what_are_your_hobbies,validation,ID
2597,what do you find fun,what_are_your_hobbies,validation,ID
2598,which hobbies do you like,what_are_your_hobbies,validation,ID
2599,what are your interests,what_are_your_hobbies,validation,ID
2600,can you find me a round trip flight from denver international to new york international on the 3rd through the 7th,book_flight,validation,ID
2601,can you look for a denver international to new york international round trip flight for the 5th though 8th,book_flight,validation,ID
2602,can you find me a flight from denver international to new york international on the 4th for under 700 dollars,book_flight,validation,ID
2603,for under 700 i need a flight from denver international to new york international on the 3rd,book_flight,validation,ID
2604,i need a flight from denver international to new york international round trip for the 4th though the 8th,book_flight,validation,ID
2605,i want to find a round trip flight from denver international to new york international on the 8th to the 16th,book_flight,validation,ID
2606,i need a flight from denver international to new york for under 700 on the 3rd,book_flight,validation,ID
2607,i want to find a flight for under 700 on the 4th from denver international to new york international,book_flight,validation,ID
2608,on the third i am looking for a flight for under 700 from denver international to new york international,book_flight,validation,ID
2609,i need a flight from the 3rd to the 7th round rip from denver international to new york international,book_flight,validation,ID
2610,find me a flight from philly to atl for june 5th to 8th,book_flight,validation,ID
2611,get me flight from philly to atlanta on june 5th i'm coming back june 8th,book_flight,validation,ID
2612,book a flight from philadelphia to atlanta on june 5th and returning on june 8th,book_flight,validation,ID
2613,i need an airline ticket for a round trip flight from philadelphia to atlanta for the dates of june 5 - 8,book_flight,validation,ID
2614,need airplane ridge from philadelphia to atlanta leaving on the 5th of june and returning on the 8th of june,book_flight,validation,ID
2615,i'm looking for a back and forth flight from lax to portland for w to sunday,book_flight,validation,ID
2616,i'm exploring a possible cycle flight from yyz to dublin for w to aug two,book_flight,validation,ID
2617,i'm seeking a full circle flight from msy to msp for w to june 7,book_flight,validation,ID
2618,i'm searching for a 2-way flight from yqg to heathrow for w to memorial day,book_flight,validation,ID
2619,i'm striving to find a 2-way flight from jfk to dtw for w to july 3,book_flight,validation,ID
2620,will you please read the things on my shopping list,shopping_list,validation,ID
2621,what is on my shopping list,shopping_list,validation,ID
2622,can you read the things to me that are on my shopping list,shopping_list,validation,ID
2623,can you read the things on my shopping list,shopping_list,validation,ID
2624,is it possible for you to read the things on my shopping list,shopping_list,validation,ID
2625,did i add salt to my shopping list,shopping_list,validation,ID
2626,do i have toothpaste on my shopping list,shopping_list,validation,ID
2627,is there lettuce on my shopping list,shopping_list,validation,ID
2628,did i include butter in my shopping list,shopping_list,validation,ID
2629,did i put elbow noodles on the shopping list,shopping_list,validation,ID
2630,did i forget to put protein shakes on my shopping list,shopping_list,validation,ID
2631,do i have butter on my list,shopping_list,validation,ID
2632,is waffles on my list for shopping,shopping_list,validation,ID
2633,do i already have cereal on my shopping list,shopping_list,validation,ID
2634,did i remember to add milk to my shopping list,shopping_list,validation,ID
2635,check my shopping list,shopping_list,validation,ID
2636,read my shopping list,shopping_list,validation,ID
2637,shopping list,shopping_list,validation,ID
2638,what do i need to buy,shopping_list,validation,ID
2639,did i remember to put eggs on my shopping list,shopping_list,validation,ID
2640,send a text to joe,text,validation,ID
2641,i need to text joe,text,validation,ID
2642,text joe,text,validation,ID
2643,send joe a text,text,validation,ID
2644,text john with the message 'where are you,text,validation,ID
2645,please send a text to danny saying that i'm running late,text,validation,ID
2646,text mom saying happy birthday,text,validation,ID
2647,text mollie saying 'i am on my way,text,validation,ID
2648,i need you to text mickey saying 'can we reschedule,text,validation,ID
2649,"send message to carl, you suck",text,validation,ID
2650,let carl know that he sucks,text,validation,ID
2651,"message carl, you suck",text,validation,ID
2652,tell carl that he sucks,text,validation,ID
2653,inform carl that he is an awful human being,text,validation,ID
2654,send robert a text from me telling him okay,text,validation,ID
2655,i need leslie to be texted saying have a good day,text,validation,ID
2656,i want a text sent to bob saying i will be late,text,validation,ID
2657,write a text to kim saying no,text,validation,ID
2658,send a text to mom saying i'm on my way,text,validation,ID
2659,robbie needs to know aboutthis so would you text robbie to let them know,text,validation,ID
2660,how much is my kill bill bill for,bill_balance,validation,ID
2661,what is the amount i owe on my phone,bill_balance,validation,ID
2662,what is the total of my repair bill,bill_balance,validation,ID
2663,how much is due on the gas bill,bill_balance,validation,ID
2664,what do i owe on telephone and cable bill,bill_balance,validation,ID
2665,how much do i have left to pay on my server and domain,bill_balance,validation,ID
2666,what's the amount due on my vet and vehicle registration bills,bill_balance,validation,ID
2667,what do my bills look like for amazon and netflix,bill_balance,validation,ID
2668,how much do i have to pay on taxes and cable,bill_balance,validation,ID
2669,how much do i owe on all of my bills,bill_balance,validation,ID
2670,how much do i have to pay for my shell gas card bill,bill_balance,validation,ID
2671,what is the total of all my bills combined,bill_balance,validation,ID
2672,can you tell me how much i need to pay on my bills this month,bill_balance,validation,ID
2673,how much is my bill for capital one,bill_balance,validation,ID
2674,what is the total amount i am going to have to pay in bills this month,bill_balance,validation,ID
2675,how much do i have to pay on my amazon card this month,bill_balance,validation,ID
2676,how much do my bills cost this month,bill_balance,validation,ID
2677,how much is my xfinity cable bill,bill_balance,validation,ID
2678,what is the amount i owe to clay electric,bill_balance,validation,ID
2679,could you tell me the amount owed on gas and electric,bill_balance,validation,ID
2680,give my location to stan,share_location,validation,ID
2681,i'd like to share my location with stephanie,share_location,validation,ID
2682,i would like brenda to have my location,share_location,validation,ID
2683,let lisa know where i am now,share_location,validation,ID
2684,i want david to know where i'm at,share_location,validation,ID
2685,can you share my location with roger,share_location,validation,ID
2686,can you send my exact location to laura,share_location,validation,ID
2687,share my location with apple,share_location,validation,ID
2688,share my location with google,share_location,validation,ID
2689,send mike my exact location,share_location,validation,ID
2690,"send my current location to steve, please",share_location,validation,ID
2691,steve needs to know my location,share_location,validation,ID
2692,i'd like to send steve my location,share_location,validation,ID
2693,share my location with steve,share_location,validation,ID
2694,i need to send my location to my friend steve,share_location,validation,ID
2695,give arianna my current location,share_location,validation,ID
2696,share with current location with ben,share_location,validation,ID
2697,show my gps location to brittany,share_location,validation,ID
2698,give my gps location to jason,share_location,validation,ID
2699,share my gps with tom,share_location,validation,ID
2700,cash in my credit card rewards,redeem_rewards,validation,ID
2701,convert my credit card points to cash,redeem_rewards,validation,ID
2702,cash in my credit card points,redeem_rewards,validation,ID
2703,where i can use credit card points,redeem_rewards,validation,ID
2704,redeem credit card points,redeem_rewards,validation,ID
2705,how to use credit card points,redeem_rewards,validation,ID
2706,what can i buy with credit card points,redeem_rewards,validation,ID
2707,please redeem my credit card points,redeem_rewards,validation,ID
2708,redeem my credit card rewards into my account,redeem_rewards,validation,ID
2709,help with credit card points,redeem_rewards,validation,ID
2710,what should i use the points from my credit card on,redeem_rewards,validation,ID
2711,how do i cash in credit card points,redeem_rewards,validation,ID
2712,"i have credit card points, how do i redeem them",redeem_rewards,validation,ID
2713,where do i redeem my credit card points,redeem_rewards,validation,ID
2714,i would like to find out how to cash out cred card points,redeem_rewards,validation,ID
2715,how to cash in visa card rewards,redeem_rewards,validation,ID
2716,how can i cash in my visa rewards,redeem_rewards,validation,ID
2717,how do you get your visa card rewards,redeem_rewards,validation,ID
2718,how do i get rewards from my visa card,redeem_rewards,validation,ID
2719,how do i get my rewards from my visa card,redeem_rewards,validation,ID
2720,let me hear the song sympathy for the devil,play_music,validation,ID
2721,please start the song penny lane,play_music,validation,ID
2722,i want to hear satisfaction,play_music,validation,ID
2723,fetch the song smells like teen spirit and play it,play_music,validation,ID
2724,i am in the mood to listen to mack the knife,play_music,validation,ID
2725,can you play the song that sounds like thun thun thun,play_music,validation,ID
2726,"play the song that goes like i like to move it, move it",play_music,validation,ID
2727,"can you play the song amazing grace and it goes like this, amazing grace how sweet the sound",play_music,validation,ID
2728,please play the song that goes like america the beautiful,play_music,validation,ID
2729,please play the song that goes like this: jingle bells jingle bells jingle all the way,play_music,validation,ID
2730,can you play music by the beatles,play_music,validation,ID
2731,can you play the beatles,play_music,validation,ID
2732,are you able to play beatles songs,play_music,validation,ID
2733,can i hear the beatles,play_music,validation,ID
2734,do you have any of the beatles music,play_music,validation,ID
2735,can you play the song that starts with doo doo doo,play_music,validation,ID
2736,can i hear the song that starts out doo doo doo,play_music,validation,ID
2737,please play me the song that starts out with doo doo doo,play_music,validation,ID
2738,please play the song that goes doo doo doo,play_music,validation,ID
2739,can you play the song that goes doo doo doo,play_music,validation,ID
2740,"you can remove the field trip from my calendar for march 12, 2019",calendar_update,validation,ID
2741,"you can remove the wedding from my calendar for march 12, 2019",calendar_update,validation,ID
2742,"you can remove the play date from my calendar for feb 18, 2019",calendar_update,validation,ID
2743,"you can remove the dinner party from my calendar for january 21, 2019",calendar_update,validation,ID
2744,"you can remove the brithday party from my calendar fpr january 15, 2019",calendar_update,validation,ID
2745,put cancel abc on my calendar for next thursday,calendar_update,validation,ID
2746,i need to add iep meeting to my calendar on april 15th,calendar_update,validation,ID
2747,add my next doctor visit to my calendar,calendar_update,validation,ID
2748,add swimming to my calendar today,calendar_update,validation,ID
2749,i have an appointment on the 5th put it on for 5pm,calendar_update,validation,ID
2750,"for friday, add a doctor's appointment to my calendar",calendar_update,validation,ID
2751,can you add a doctor's appointment to friday's calendar,calendar_update,validation,ID
2752,add to my friday calendar a doctor's appointment,calendar_update,validation,ID
2753,add a doctor's appointment to my calendar for friday,calendar_update,validation,ID
2754,add to friday's calendar a doctor's appointment,calendar_update,validation,ID
2755,mark my calendar that i will be meeting steven on march 5,calendar_update,validation,ID
2756,"on the 22nd of this month, we need to clear our calendar so we can leave it open for mark to visit",calendar_update,validation,ID
2757,"can you remove that event from my calendar, please",calendar_update,validation,ID
2758,can you remove this event from my calendar,calendar_update,validation,ID
2759,"can you remove this event from my calendar, please",calendar_update,validation,ID
2760,are you secretly real,are_you_a_bot,validation,ID
2761,i would like to know if you are a robot,are_you_a_bot,validation,ID
2762,you could tell me if you were real,are_you_a_bot,validation,ID
2763,i would like to know if you are an artificial intelligence being,are_you_a_bot,validation,ID
2764,do you consider yourself an artificial intelligence being,are_you_a_bot,validation,ID
2765,can you act and think like a real person,are_you_a_bot,validation,ID
2766,could you be a real person,are_you_a_bot,validation,ID
2767,"clear something up, are you a robot",are_you_a_bot,validation,ID
2768,are you a human being or a computer,are_you_a_bot,validation,ID
2769,can you tell me if you are a real live person,are_you_a_bot,validation,ID
2770,am i speaking with a real person,are_you_a_bot,validation,ID
2771,are you an actual human,are_you_a_bot,validation,ID
2772,would you be classified as a bot,are_you_a_bot,validation,ID
2773,would it be accurate to call you a bot,are_you_a_bot,validation,ID
2774,would you say you are a bot,are_you_a_bot,validation,ID
2775,i am curious to know if you are a bot,are_you_a_bot,validation,ID
2776,are you an actual live person,are_you_a_bot,validation,ID
2777,please tell me if you are a bot,are_you_a_bot,validation,ID
2778,are you a robot,are_you_a_bot,validation,ID
2779,can you tell me what kind of life form you are,are_you_a_bot,validation,ID
2780,what is the gas level in my gas tank,gas,validation,ID
2781,is my gas tank full or empty,gas,validation,ID
2782,do i have enough gas to take me home,gas,validation,ID
2783,should i a gas refill for my car at the next gas station,gas,validation,ID
2784,can you inform me of my gas amount,gas,validation,ID
2785,calculate the amount of gas i currently have,gas,validation,ID
2786,how many gallons of gas are in my car,gas,validation,ID
2787,what amount of gas do i have left,gas,validation,ID
2788,how much gas does my car currently have,gas,validation,ID
2789,how much gas do i have,gas,validation,ID
2790,how much fuel do i have left,gas,validation,ID
2791,what's left in the tank,gas,validation,ID
2792,how much gas do i have left,gas,validation,ID
2793,how long before i'm on e,gas,validation,ID
2794,do i have enough fuel to get to buffalo,gas,validation,ID
2795,how much gas do i need to get to buffalo,gas,validation,ID
2796,do i have enough gas to get to buffalo,gas,validation,ID
2797,how much fuel do i need to get to buffalo,gas,validation,ID
2798,how much gas do you have will you make it to jackson,gas,validation,ID
2799,how much gas does it take to get to jackson,gas,validation,ID
2800,what is the date that my visa card expires,expiration_date,validation,ID
2801,tell me the expiration date on my visa credit card please,expiration_date,validation,ID
2802,tell me when my credit card from visa expires please,expiration_date,validation,ID
2803,do you know the expiration date that is on my visa card,expiration_date,validation,ID
2804,can you find the expiration date and tell me what it is that is on my visa credit card,expiration_date,validation,ID
2805,will i need to renew my credit card soon,expiration_date,validation,ID
2806,when will my visa expire,expiration_date,validation,ID
2807,will my debit card go bad any time soon,expiration_date,validation,ID
2808,what is my expiration data for my card,expiration_date,validation,ID
2809,when will my card go rotten,expiration_date,validation,ID
2810,will my card expire on a certain month,expiration_date,validation,ID
2811,when is my cards end month,expiration_date,validation,ID
2812,what month does my card stop working,expiration_date,validation,ID
2813,my card will work until what month,expiration_date,validation,ID
2814,what month does my card close,expiration_date,validation,ID
2815,when do i need a new credit card,expiration_date,validation,ID
2816,in what month does my credit card expire,expiration_date,validation,ID
2817,when is my credit card set to expire,expiration_date,validation,ID
2818,i need to know when my credit card is going to expire,expiration_date,validation,ID
2819,tell me when my credit card expires,expiration_date,validation,ID
2820,add this song to travel,update_playlist,validation,ID
2821,add song to media playlist,update_playlist,validation,ID
2822,add song to my hype playlist,update_playlist,validation,ID
2823,put song in springtime playlist,update_playlist,validation,ID
2824,put we are the champions to my running playlist,update_playlist,validation,ID
2825,put on bended knee on my reflection playlist,update_playlist,validation,ID
2826,please place this track on my driving mix,update_playlist,validation,ID
2827,please add this song to my morning job playlist,update_playlist,validation,ID
2828,i'd like to augment my workout playlist with this tune,update_playlist,validation,ID
2829,i'd like to add this song to my relaxation playlist,update_playlist,validation,ID
2830,add games without frontiers to my week 5 playlist,update_playlist,validation,ID
2831,i want to put thank you on my playlist called relaxing jams,update_playlist,validation,ID
2832,can you put the currently playing track on my zen playlist,update_playlist,validation,ID
2833,add welcome to the jungle to my workout mix,update_playlist,validation,ID
2834,i want you to add the song i listen to to my summer playlist,update_playlist,validation,ID
2835,add what i listen to to my car ride playlist,update_playlist,validation,ID
2836,please add what i listen to to my lolla playlist,update_playlist,validation,ID
2837,can you help me add the song i listen to to my clutch playlist,update_playlist,validation,ID
2838,add what i am listening to to my road trip playlist,update_playlist,validation,ID
2839,put this in my workout playlist,update_playlist,validation,ID
2840,i would like to cancel my reservation for nenuco's restaurant to x- tapas,cancel_reservation,validation,ID
2841,i need my reservation to be cancelled for nugget to xiomara's restaurant,cancel_reservation,validation,ID
2842,i need to cancel my reservation for new york to xai varanda,cancel_reservation,validation,ID
2843,i want to cancel my reservation for network to xaga such,cancel_reservation,validation,ID
2844,forget reservation at longhorn for 4,cancel_reservation,validation,ID
2845,forget reservation at oyster bar for tonight,cancel_reservation,validation,ID
